year,state_name,ac_name,total_electors,total_valid_votes,turnout,margin,num_candidates,winner_vote_share,turnout_change,avg_turnout,turnout_volatility,low_turnout_score,negative_trend_score,volatility_score,large_electorate_penalty,priority_score
2009,Andhra Pradesh,Bapatla,161981,122771,75.79,13692,13,30.51,,80.56333333333333,4.1358715324987125,0.20547884581341824,0.0,0.0768257454364939,0.037887116666389796,0.10134539907930505
2014,Andhra Pradesh,Bapatla,171229,141808,82.82,63789,15,50.12,7.029999999999987,80.56333333333333,4.1358715324987125,0.20547884581341824,0.0,0.0768257454364939,0.04008969815165023,0.10156565722783109
2019,Andhra Pradesh,Bapatla,185076,153769,83.08,60631,20,51.92,0.2600000000000051,80.56333333333333,4.1358715324987125,0.20547884581341824,0.0,0.0768257454364939,0.0433876161692109,0.10189544902958717
2009,Andhra Pradesh,Bellampalle,139312,102237,73.39,16350,7,41.04,,73.39,,0.3007169410515135,0.0,0.0,0.04754608713915202,0.1250413851345206
2009,Andhra Pradesh,Bhadrachalam,187694,143908,76.67,22109,9,35.76,,76.67,,0.2571694105151353,0.0,0.0,0.05508264931867764,0.1083760291379219
2009,Andhra Pradesh,Bhimavaram,194488,158071,81.28,35270,15,40.4,,79.05333333333333,1.928349899093351,0.22552664188351923,0.0,0.035820000040168214,0.05008113182629899,0.10238276994407125
2014,Andhra Pradesh,Bhimavaram,225646,175871,77.94,74698,10,51.61,-3.3400000000000034,79.05333333333333,1.928349899093351,0.22552664188351923,0.035180113756056494,0.035820000040168214,0.05822600773161376,0.11375129166141967
2019,Andhra Pradesh,Bhimavaram,246424,192061,77.94,52545,14,36.78,0.0,79.05333333333333,1.928349899093351,0.22552664188351923,0.0,0.035820000040168214,0.06365749343546606,0.10374040610498796
2009,Andhra Pradesh,Bhimili,223150,176353,79.03,18266,10,29.56,,76.35666666666667,2.321407618953068,0.2613294388387324,0.0,0.043121230770018205,0.06671345168389706,0.11982736685788631
2014,Andhra Pradesh,Bhimili,281799,211886,75.19,76061,8,55.7,-3.8400000000000034,76.35666666666667,2.321407618953068,0.2613294388387324,0.040446597851274524,0.043121230770018205,0.08447848363820669,0.13373784940869962
2019,Andhra Pradesh,Bhimili,307144,229890,74.85,67669,11,44.21,-0.3400000000000034,76.35666666666667,2.321407618953068,0.2613294388387324,0.003581209184748298,0.043121230770018205,0.09215559211204219,0.12344594365612532
2009,Andhra Pradesh,Bhongir,186195,148370,79.69,32577,13,35.77,,79.69,,0.21707381837493356,0.0,0.0,0.04611748677334922,0.09144127602730835
2009,Andhra Pradesh,Bhupalpalle,222582,160680,72.19,47978,18,43.3,,72.19,,0.3166489644184811,0.0,0.0,0.08062721960521764,0.13472230772791421
2009,Andhra Pradesh,Boath,142890,116040,81.21,30995,7,55.92,,81.21,,0.19689325544344127,0.0,0.0,0.031947177102537215,0.08195201988763023
2009,Andhra Pradesh,Bobbili,202043,154065,76.25,36410,10,49.13,,78.20666666666666,1.7057061098950559,0.23676756948132405,0.0,0.03168428766671578,0.054650681682605756,0.10650895349413335
2014,Andhra Pradesh,Bobbili,211986,168281,79.38,71663,6,49.67,3.1299999999999955,78.20666666666666,1.7057061098950559,0.23676756948132405,0.0,0.03168428766671578,0.05737938740057235,0.10678182406593001
2019,Andhra Pradesh,Bobbili,220854,174457,78.99,72370,7,48.7,-0.39000000000000057,78.20666666666666,1.7057061098950559,0.23676756948132405,0.004107857594270071,0.03168428766671578,0.05981307565431144,0.10825755016958494
2009,Andhra Pradesh,Bodhan,180181,132023,73.27,25548,7,32.19,,73.27,,0.3023101433882103,0.0,0.0,0.062118671415957595,0.12713592449687988
2009,Andhra Pradesh,Chandragiri,219118,170871,77.98,31129,13,42.1,,78.61333333333333,0.9948534230394636,0.23136838378474067,0.0,0.018479866994050107,0.057983559160672916,0.10204168282877359
2014,Andhra Pradesh,Chandragiri,258859,206456,79.76,91598,15,48.88,1.7800000000000011,78.61333333333333,0.9948534230394636,0.23136838378474067,0.0,0.018479866994050107,0.06864116978997678,0.10310744389170397
